ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,,,label,,,detailed-label
1540470731.34647,CKT1nF2pKxpwesvEtj,192.168.1.132,53396,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,benign,,,-
1540470731.30575,C2Lv0t2TFb4oOybzrh,192.168.1.132,48230,192.168.1.1,53,udp,dns,0.040227,34,311,SF,-,-,0,Dd,1,62,1,339,-,,,benign,,,-
1540471110.72707,CaBoMhYTG8hXEYKUl,192.168.1.132,49002,216.239.35.12,123,udp,-,0.270346,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540471275.09735,CNKSzj2AzuaCQBuSsj,192.168.1.132,46411,216.239.35.0,123,udp,-,0.109684,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540471418.30399,CQeo6C4faCIKjIhMM3,192.168.1.132,49057,216.239.35.4,123,udp,-,0.114426,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540471494.49382,CDoMg14pwYZ0Rylhf1,192.168.1.132,42282,216.239.35.8,123,udp,-,0.01698,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540469863.25321,CP01y62UX7tbTa1x39,192.168.1.132,1900,239.255.255.250,1900,udp,-,1633.04433,60288,0,S0,-,-,0,D,192,65664,0,0,-,,,benign,,,-
1540471631.53371,CAkyqq4QzwUJQDuxnc,192.168.1.132,56406,2.16.60.139,443,tcp,-,0.003498,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,malicious,,,-
1540471631.35007,C1NlJjzoaDWwde1ak,192.168.1.132,34110,192.168.1.1,53,udp,dns,0.183145,34,311,SF,-,-,0,Dd,1,62,1,339,-,,,benign,,,-
1540472191.61135,Cv5jrH2pHRn5GLjwy2,192.168.1.132,52937,216.239.35.12,123,udp,-,0.272344,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540472314.98316,Ce0eby5SunbIYssC6,192.168.1.132,53418,216.239.35.0,123,udp,-,0.109436,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540471557.06192,CAb9Gv4xgifq99dLkc,192.168.1.132,1900,239.255.255.250,1900,udp,-,766.04856,28260,0,S0,-,-,0,D,90,30780,0,0,-,,,benign,,,-
1540472384.71426,CYBsqO1jX0dBXEeQUi,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.851218,3768,0,S0,-,-,0,D,12,4104,0,0,-,,,benign,,,-
1540472524.85265,C0wssT3JKSiAqhCZw,192.168.1.132,56806,52.209.221.67,80,tcp,http,0.088446,1847,1539,SF,-,-,0,ShADadtfF,7,2139,7,1823,-,,,benign,,,-
1540472524.94434,CZAnC51NxxuVdfhg28,192.168.1.132,60404,52.215.95.120,80,tcp,http,0.109187,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1035,-,,,malicious,,,-
1540472524.7972,CROWuH3A0maFhUNqHl,192.168.1.132,40730,192.168.1.1,53,udp,dns,0.050455,37,179,SF,-,-,0,Dd,1,65,1,207,-,,,benign,,,-
1540472524.84815,CpMGWx1WZnjO78jNT2,192.168.1.132,50152,192.168.1.1,53,udp,dns,0.003998,37,442,SF,-,-,0,Dd,1,65,1,470,-,,,benign,,,-
1540472524.9421,C6MXM823vAYEWDE1wi,192.168.1.132,42585,192.168.1.1,53,udp,dns,0.000499,37,100,SF,-,-,0,Dd,1,65,1,128,-,,,benign,,,-
1540472524.94334,C52U38ISU4nIzZmwd,192.168.1.132,49327,192.168.1.1,53,udp,dns,0.0005,37,132,SF,-,-,0,Dd,1,65,1,160,-,,,benign,,,-
1540472531.58253,C29JTF1UOZjbQoRx3,192.168.1.132,53406,2.16.60.82,443,tcp,-,0.003499,0,0,SF,-,-,0,ShAFaf,4,172,3,132,-,,,benign,,,-
1540472531.53583,CTtK543h1wuw8BOjx,192.168.1.132,41945,192.168.1.1,53,udp,dns,0.04621,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540472494.19178,CAOq8i3svbVXkWbZD3,192.168.1.132,60468,216.239.35.4,123,udp,-,0.114417,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540472539.34808,C3yNIb4bmZB9PGimj8,192.168.1.132,47872,216.239.35.8,123,udp,-,0.017238,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540472502.07825,CZa3qT1YOqrDnum2ud,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.868027,3768,0,S0,-,-,0,D,12,4104,0,0,-,,,benign,,,-
1540473275.46412,C505sa1jNFFexpP6a3,192.168.1.132,40117,216.239.35.12,123,udp,-,0.269349,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540473431.62067,Cx8IgN3iIIlwEhtIg3,192.168.1.132,56414,2.16.60.139,443,tcp,-,0.003495,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,,,benign,,,-
1540473431.58395,Cv2jEb1aOYScmCnL5g,192.168.1.132,44519,192.168.1.1,53,udp,dns,0.036214,34,311,SF,-,-,0,Dd,1,62,1,339,-,,,benign,,,-
1540472614.49943,C025uM1dmPB9pqTkP9,192.168.1.132,1900,239.255.255.250,1900,udp,-,1480.810378,52752,0,S0,-,-,0,D,168,57456,0,0,-,,,benign,,,-
1540474331.82384,CaUj5SqM6MzuzRMn2,192.168.1.132,53408,2.16.60.82,443,tcp,-,0.003496,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,benign,,,-
1540474331.62322,CRpfqB3kixgb3iGKY2,192.168.1.132,35624,192.168.1.1,53,udp,dns,0.200137,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540474466.83234,C1SR67La2smGPXQgl,192.168.1.132,37547,216.239.35.0,123,udp,-,0.109694,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540474595.04331,C9rfg3DPGazGisG8f,192.168.1.132,42661,216.239.35.4,123,udp,-,0.116179,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540474660.22414,C4ZMI03YRLJpGsS1Gk,192.168.1.132,58337,216.239.35.8,123,udp,-,0.016732,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540475231.95015,CB0DUp1dWFoiXeHlk6,192.168.1.132,53409,2.16.60.82,443,tcp,-,3.000292,0,0,SF,-,-,0,ShAFf,6,276,2,92,-,,,benign,,,-
1540475231.82998,CaL5Zl1IYbzg8TOvN1,192.168.1.132,37762,192.168.1.1,53,udp,dns,0.119679,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540474155.44524,CTIWJf3d4syOW81YAb,192.168.1.132,1900,239.255.255.250,1900,udp,-,1032.879228,37680,0,S0,-,-,0,D,120,41040,0,0,-,,,benign,,,-
1540475249.01895,Chp7Wb6fF9MF6uU2k,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.83058,3768,0,S0,-,-,0,D,12,4104,0,0,-,,,benign,,,-
1540475357.34057,CG5S7F4VEBuoeB9Xs9,192.168.1.132,60830,216.239.35.12,123,udp,-,0.270102,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540475359.96058,Cnb06s1Znjnung2qr1,192.168.1.132,1900,239.255.255.250,1900,udp,-,322.370929,13188,0,S0,-,-,0,D,42,14364,0,0,-,,,benign,,,-
1540476124.98357,C9jU4h471UjRdSSze7,192.168.1.132,56812,52.209.221.67,80,tcp,http,0.089448,1847,1539,SF,-,-,0,ShADadtfF,7,2151,7,1831,-,,,benign,,,-
1540476125.07577,CajqPf45nI4XZfNi5g,192.168.1.132,60410,52.215.95.120,80,tcp,http,0.114934,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1035,-,,,benign,,,-
1540476124.79818,Cgy2EYobRk1smi0hl,192.168.1.132,44113,192.168.1.1,53,udp,dns,0.180398,37,179,SF,-,-,0,Dd,1,65,1,207,-,,,benign,,,-
1540476124.97932,CybtIqpihamUF9ei8,192.168.1.132,55180,192.168.1.1,53,udp,dns,0.003752,37,442,SF,-,-,0,Dd,1,65,1,470,-,,,benign,,,-
1540476125.07377,C8WJCQ1wdWmWNRp7V2,192.168.1.132,52508,192.168.1.1,53,udp,dns,0.000499,37,100,SF,-,-,0,Dd,1,65,1,128,-,,,benign,,,-
1540476125.07477,Ce9nf72uGYrBAnGtGh,192.168.1.132,57276,192.168.1.1,53,udp,dns,0.00075,37,132,SF,-,-,0,Dd,1,65,1,160,-,,,benign,,,-
1540476135.01286,CtywZo2EMLbcogHDwk,192.168.1.132,53412,2.16.60.82,443,tcp,-,0.003496,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,benign,,,-
1540476134.9504,CI6HqI2pPt4MYd9lj,192.168.1.132,50702,192.168.1.1,53,udp,dns,0.061961,34,311,SF,-,-,0,Dd,1,62,1,339,-,,,benign,,,-
1540476614.70989,C1ozz8kKX3LS4aswk,192.168.1.132,58852,216.239.35.0,123,udp,-,0.109678,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540476757.91972,C8fHZ41GZZozesCiqj,192.168.1.132,48147,216.239.35.4,123,udp,-,0.114433,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540476804.08016,CqdhaF5xvBFSNGHk1,192.168.1.132,45244,216.239.35.8,123,udp,-,0.016723,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540477035.05843,Cs1K323K1jOQi2kUT9,192.168.1.132,56420,2.16.60.139,443,tcp,-,0.003248,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,benign,,,-
1540477035.01571,C2KkwA4bb6Zm15LMAi,192.168.1.132,52447,192.168.1.1,53,udp,dns,0.042224,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540475744.95336,CmSPZM1VeGjyWUKnSc,192.168.1.132,1900,239.255.255.250,1900,udp,-,1643.646987,58404,0,S0,-,-,0,D,186,63612,0,0,-,,,benign,,,-
1540477474.19754,CqoVrQ2jIdhoxyJ3vi,192.168.1.132,33243,216.239.35.12,123,udp,-,0.269861,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540477502.39921,Cln7FX3jEFbLoh5V76,192.168.1.132,1900,239.255.255.250,1900,udp,-,109.999279,5652,0,S0,-,-,0,D,18,6156,0,0,-,,,benign,,,-
1540477935.09625,CquRBf3qPSLrfDZME5,192.168.1.132,56602,2.16.60.139,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,,,benign,,,-
1540477935.06052,CaJTGK251IMHxhAlL5,192.168.1.132,46059,192.168.1.1,53,udp,dns,0.03498,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540478671.56804,C7JXdX2wP6TZ9dU1L6,192.168.1.132,45914,216.239.35.0,123,udp,-,0.109194,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,malicious,,,-
1540478835.20605,Cb6hEU29Q51Uh5o4b,192.168.1.132,53596,2.16.60.82,443,tcp,-,0.003498,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,malicious,,,-
1540478835.09812,Ct5dAw3Xi2Hdys9A96,192.168.1.132,52404,192.168.1.1,53,udp,dns,0.107433,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,malicious,,,-
1540478897.77765,CrS9pI2Df9e3pVlaH,192.168.1.132,52156,216.239.35.8,123,udp,-,0.016983,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,malicious,,,-
1540478909.80605,CMvpwu3AlLojqV6xC6,192.168.1.132,47693,216.239.35.4,123,udp,-,0.114429,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,malicious,,,-
1540479532.01968,CB7ALp4YViqgQDMZI3,192.168.1.132,46724,216.239.35.12,123,udp,-,0.269841,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,malicious,,,-
1540479724.84001,Cx7C0rBT2nl5Kjzw8,192.168.1.132,60596,52.215.95.120,80,tcp,http,0.093946,1847,1539,SF,-,-,0,ShADadtfF,7,2151,7,1831,-,,,malicious,,,-
1540479724.93696,CGTOJt2xNQkobSwysb,192.168.1.132,57000,52.209.221.67,80,tcp,http,0.126426,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1035,-,,,malicious,,,-
1540479724.79531,CwqJ5D3zVGg6IPW4Ne,192.168.1.132,57927,192.168.1.1,53,udp,dns,0.039463,37,179,SF,-,-,0,Dd,1,65,1,207,-,,,malicious,,,-
1540479724.83527,C6PJkt3yXlV49l8yrf,192.168.1.132,43483,192.168.1.1,53,udp,dns,0.00425,37,442,SF,-,-,0,Dd,1,65,1,470,-,,,malicious,,,-
1540479724.93496,CJvZrS2myol5OtCqt,192.168.1.132,47067,192.168.1.1,53,udp,dns,0.000499,37,100,SF,-,-,0,Dd,1,65,1,128,-,,,malicious,,,-
1540479724.93596,C1UiiY12fggmaaXaJ4,192.168.1.132,51670,192.168.1.1,53,udp,dns,0.0005,37,132,SF,-,-,0,Dd,1,65,1,160,-,,,malicious,,,-
1540479735.25558,CCX7ye2aClx8tifQvl,192.168.1.132,53599,2.16.60.82,443,tcp,-,0.00325,0,0,SF,-,-,0,ShAFaf,4,172,3,132,-,,,malicious,,,-
1540479735.20837,Cj88eQ2LLHagBCKrxh,192.168.1.132,59133,192.168.1.1,53,udp,dns,0.046721,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,malicious,,,-
1540480635.30904,Cs4qk62UTBa3GY4gwl,192.168.1.132,56607,2.16.60.139,443,tcp,-,0.003745,0,0,SF,-,-,0,ShAFaf,4,172,3,132,-,,,malicious,,,-
1540480635.25734,CU8GGT1Vu2qt0wFT7g,192.168.1.132,50151,192.168.1.1,53,udp,dns,0.051225,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540480739.38724,CKqaWQ15Z1dHj0zB83,192.168.1.132,54251,216.239.35.0,123,udp,-,0.10968,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540480974.59744,CNlitm1jg4l6KNuTik,192.168.1.132,37639,216.239.35.8,123,udp,-,0.01699,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540481064.70435,C171Dq4TLzzeKADiDg,192.168.1.132,54182,216.239.35.4,123,udp,-,0.114424,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540481535.35182,CPzhwSyOPMNESW6d3,192.168.1.132,53601,2.16.60.82,443,tcp,-,0.003247,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,,,benign,,,-
1540481535.31085,CT0eAm3Xg44YRX9sH,192.168.1.132,38186,192.168.1.1,53,udp,dns,0.04047,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540481638.91505,ClBXJo3oiO0YR0tWAj,192.168.1.132,41893,216.239.35.12,123,udp,-,0.272601,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540482435.55116,CbVqMk2OM7jVeueEE5,192.168.1.132,53602,2.16.60.82,443,tcp,-,0.003501,0,0,SF,-,-,0,ShAFaf,4,172,3,132,-,,,benign,,,-
1540482435.35403,CH2TLa13mJl9yC5SNe,192.168.1.132,41753,192.168.1.1,53,udp,dns,0.196634,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540482803.28786,Cq4mKCnC3Lf9tGgJe,192.168.1.132,41445,216.239.35.0,123,udp,-,0.109685,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540483123.49713,CqJFee3vA7vjnERW99,192.168.1.132,36649,216.239.35.8,123,udp,-,0.016989,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540483150.54047,CecO7k9WA7LfLfqvg,192.168.1.132,53816,216.239.35.4,123,udp,-,0.114182,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540483324.99828,CVCoG14pyysFPa2kQi,192.168.1.132,60602,52.215.95.120,80,tcp,http,0.094447,1847,1539,SF,-,-,0,ShADadtfF,7,2139,7,1823,-,,,benign,,,-
1540483325.09573,CdV7FS1hOxkGuHkTbc,192.168.1.132,57006,52.209.221.67,80,tcp,http,0.113685,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1043,-,,,benign,,,-
1540483327.01139,CSiLuw4nkxF0s73csc,192.168.1.132,60787,130.211.67.12,80,tcp,http,0.210379,1595,177,SF,-,-,0,ShADadFf,8,1927,7,469,-,,,benign,,,-
1540483324.79241,Ci3Bs7hzpaHFrCNNg,192.168.1.132,43664,192.168.1.1,53,udp,dns,0.200631,37,179,SF,-,-,0,Dd,1,65,1,207,-,,,benign,,,-
1540483324.99354,CATNYt2MrpvQjeSp56,192.168.1.132,56163,192.168.1.1,53,udp,dns,0.004,37,442,SF,-,-,0,Dd,1,65,1,470,-,,,benign,,,-
1540483325.09373,C151Up1xUqLv8B0Hbb,192.168.1.132,37627,192.168.1.1,53,udp,dns,0.0005,37,100,SF,-,-,0,Dd,1,65,1,128,-,,,benign,,,-
1540483325.09473,CWQP8Y2iiMWt523Gdb,192.168.1.132,33707,192.168.1.1,53,udp,dns,0.00075,37,132,SF,-,-,0,Dd,1,65,1,160,-,,,benign,,,-
1540483326.81351,CNemLr3mI0LX4Fuim3,192.168.1.132,60441,192.168.1.1,53,udp,dns,0.197378,41,124,SF,-,-,0,Dd,1,69,1,152,-,,,benign,,,-
1540483335.59424,CkLEmT1fURC8GHJ2ke,192.168.1.132,53606,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,benign,,,-
1540483335.55427,C7iIFeFqYItiy7AMh,192.168.1.132,47242,192.168.1.1,53,udp,dns,0.039479,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540483717.75543,C3gdCK101egCcEBl3b,192.168.1.132,53489,216.239.35.12,123,udp,-,0.272087,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,malicious,,,-
1540484235.63595,C3xu7H3dfM6erO2dWg,192.168.1.132,53607,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,,,malicious,,,-
1540484235.59673,CGbbxX37ZJ3wKecWQ6,192.168.1.132,42648,192.168.1.1,53,udp,dns,0.038729,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,malicious,,,-
1540484958.12711,CgSR2z419FlNGaLdw4,192.168.1.132,50380,216.239.35.0,123,udp,-,0.109672,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,malicious,,,-
1540485135.74283,CPg9Qe2aCDKzySLPTb,192.168.1.132,53608,2.16.60.82,443,tcp,-,0.003496,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,,,malicious,,,-
1540485135.63764,CzNTXM3U1imdcnKmJd,192.168.1.132,45769,192.168.1.1,53,udp,dns,0.104447,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,malicious,,,-
1540485255.33641,CESr2KLztxpxppQUj,192.168.1.132,45150,216.239.35.8,123,udp,-,0.016983,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,malicious,,,-
1540485292.39003,Cw1ZIN1i0desF1jJL5,192.168.1.132,51218,216.239.35.4,123,udp,-,0.116177,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,malicious,,,-
1540485837.60447,CbvTSQXNjKuylVQBc,192.168.1.132,35257,216.239.35.12,123,udp,-,0.270104,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,malicious,,,-
1540486035.85394,CTg5GP1RFoDc9qCMa6,192.168.1.132,53609,2.16.60.82,443,tcp,-,0.003248,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,,,malicious,,,-
1540486035.746,CM6UQ44dK8eiArSrN7,192.168.1.132,54613,192.168.1.1,53,udp,dns,0.107436,34,311,SF,-,-,0,Dd,1,62,1,339,-,,,benign,,,-
1540486924.85277,CAZatg2a0heEfxcKb,192.168.1.132,57012,52.209.221.67,80,tcp,http,0.089197,1847,1539,SF,-,-,0,ShADadtfF,7,2151,7,1831,-,,,benign,,,-
1540486924.94497,CXhlOUOXoJ7S8zmf3,192.168.1.132,60610,52.215.95.120,80,tcp,http,0.109936,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1043,-,,,benign,,,-
1540486924.79107,Cvaokoc1T25YZj28i,192.168.1.132,34147,192.168.1.1,53,udp,dns,0.055701,37,179,SF,-,-,0,Dd,1,65,1,207,-,,,benign,,,-
1540486924.84727,ChMH0e2fvN8cUweIX9,192.168.1.132,49089,192.168.1.1,53,udp,dns,0.004751,37,442,SF,-,-,0,Dd,1,65,1,470,-,,,benign,,,-
1540486924.94297,CvDnkN1kkQfHKzi8s4,192.168.1.132,53949,192.168.1.1,53,udp,dns,0.000498,37,100,SF,-,-,0,Dd,1,65,1,128,-,,,benign,,,-
1540486924.94397,CEZ7x546yFc9rzEhe,192.168.1.132,35538,192.168.1.1,53,udp,dns,0.0005,37,132,SF,-,-,0,Dd,1,65,1,160,-,,,benign,,,-
1540486935.97918,CJooLB4mbw1ZjTlno4,192.168.1.132,56619,2.16.60.139,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,benign,,,-
1540486935.85727,Cv9J6UW3Zde0Tx5oj,192.168.1.132,51998,192.168.1.1,53,udp,dns,0.121426,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540487125.97493,CbrrPu3Fxo0qv6g9Rb,192.168.1.132,33185,216.239.35.0,123,udp,-,0.109928,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540487336.18415,CPNbNp2gKV9loYbdS,192.168.1.132,35056,216.239.35.8,123,udp,-,0.016972,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540487463.30145,Ch8wqd4nHOjfUQlK35,192.168.1.132,39474,216.239.35.4,123,udp,-,0.114174,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540487836.01776,CL13nO3UWBsaZjrmIf,192.168.1.132,56620,2.16.60.139,443,tcp,-,0.004245,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,benign,,,-
1540487835.98279,CyY73x2rHmtpzjkgRe,192.168.1.132,41437,192.168.1.1,53,udp,dns,0.034488,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540487907.51552,CGsXjp1bTQH2GJXZm,192.168.1.132,35296,216.239.35.12,123,udp,-,0.269845,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540488736.14183,CdPBh22yxj50qLVxea,192.168.1.132,53614,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,,,benign,,,-
1540488736.02091,COabwz2zNQqJyJT5Rj,192.168.1.132,54529,192.168.1.1,53,udp,dns,0.120428,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540489209.88718,CERiia6NZwi9zpFb6,192.168.1.132,41959,216.239.35.0,123,udp,-,0.109433,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540489443.09773,CsIx2M3kgMHJdqycQe,192.168.1.132,47864,216.239.35.8,123,udp,-,0.016987,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540489636.34772,C7jwUioCNPyLt3ZDh,192.168.1.132,53615,2.16.60.82,443,tcp,-,0.003496,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,benign,,,-
1540489636.14609,CFCRdlgSVQoe116B9,192.168.1.132,42329,192.168.1.1,53,udp,dns,0.201136,34,297,SF,-,-,0,Dd,1,62,1,325,-,,,benign,,,-
1540489596.21508,COp5my136JURdYPJ67,192.168.1.132,51766,216.239.35.4,123,udp,-,0.11468,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540490044.42985,CtrCsa4POTtyZycUlg,192.168.1.132,36828,216.239.35.12,123,udp,-,0.269593,48,48,SF,-,-,0,Dd,1,76,1,76,-,,,benign,,,-
1540490524.90391,C7a0fo4aeQEAcR6ELg,192.168.1.132,57018,52.209.221.67,80,tcp,http,0.088448,1847,1539,SF,-,-,0,ShADadtfF,7,2151,7,1831,-,,,benign,,,-
1540490524.99561,CHQW2S1g0RRUqhlf1e,192.168.1.132,60616,52.215.95.120,80,tcp,http,0.117684,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1035,-,,,benign,,,-
1540490524.79399,Ccg0Dq1BituP0Mc8p1,192.168.1.132,57901,192.168.1.1,53,udp,dns,0.104681,37,179,SF,-,-,0,Dd,1,65,1,207,-,,,benign,,,-
1540490524.89942,C1hPAj4B3gxSoZcZAf,192.168.1.132,48314,192.168.1.1,53,udp,dns,0.004001,37,442,SF,-,-,0,Dd,1,65,1,470,-,,,benign,,,-
1540490524.99361,C2OhoL3ohg094dUg84,192.168.1.132,53697,192.168.1.1,53,udp,dns,0.000499,37,100,SF,-,-,0,Dd,1,65,1,128,-,,,benign,,,-
1540490524.99461,CzNN9B3s4yN48s6WQ9,192.168.1.132,39510,192.168.1.1,53,udp,dns,0.0005,37,132,SF,-,-,0,Dd,1,65,1,160,-,,,benign,,,-
1540490536.45833,CxVm4N1PbGn0oQmOCe,192.168.1.132,56625,2.16.60.139,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,,,benign,,,-
